epoch,train_rmse,val_rmse,val_mae,val_r2,val_out_of_bounds,learning_rate,rmse_limpio,rmse_leve,rmse_moderado,rmse_alto,rmse_crítico
1,17.042694145522486,20.04326775601364,17.613426208496094,0.5041046738624573,0.0,0.0003,24.45214,16.862516,8.062912,15.270573,22.235964
2,13.643262391069184,11.43664604085437,7.931881427764893,0.8385454416275024,0.0,0.0003,6.816294,4.312142,8.830701,16.058395,17.93181
3,13.290299902446604,10.702762180030351,7.45791482925415,0.8586015701293945,0.2515310586176728,0.0003,10.781396,4.794883,7.748994,14.112604,13.448816
4,12.957260168704758,11.873290306845512,8.804465293884277,0.825981616973877,0.0,0.0003,14.646873,8.560266,7.8770957,11.336246,12.156859
5,12.835427384965778,10.585874802113963,7.575685024261475,0.8616731762886047,0.010936132983377,0.0003,8.879262,5.012778,7.9822555,15.404605,13.99284
6,12.64056248112672,10.971619702295271,8.45923900604248,0.8514083623886108,0.1202974628171478,0.0003,11.400487,6.8472366,6.8792186,13.417914,13.384504
7,12.624818537939596,11.0681328809505,7.65171480178833,0.8487826585769653,0.0,0.0003,6.647367,4.061478,8.61316,15.124917,17.59074
8,12.445435409267668,10.408265201869582,7.464797496795654,0.8662759065628052,0.0,0.0003,10.699953,6.8067517,7.710869,11.894601,12.9316
9,12.364345992892083,12.815575889142048,9.705315589904783,0.797264814376831,0.2187226596675415,0.0003,16.777742,9.842749,9.372314,11.400083,10.866582
10,12.278577676678845,10.39944862718155,7.345052242279053,0.8665024042129517,0.0,0.0003,9.752163,4.9730783,7.8053613,12.551223,14.44641
11,12.16478571435936,9.81984803098062,6.3998799324035645,0.8809683322906494,0.0,0.0003,7.3672404,4.508564,7.962889,13.172071,14.421567
12,12.125258807561982,9.717166382699816,6.484723091125488,0.8834446668624878,0.010936132983377,0.0003,9.372364,5.2385826,7.3470907,12.463745,12.479796
13,11.98433769065338,9.318862415337412,5.567321300506592,0.892803966999054,0.0,0.0003,7.8081837,5.0349813,8.48577,12.345937,12.539695
14,11.903594612227394,9.83750289754123,5.891871452331543,0.8805399537086487,0.0,0.0003,6.6809773,4.4080687,9.908856,14.030697,13.949504
15,11.892230884711896,9.301100943604997,5.44438362121582,0.8932121992111206,0.0,0.0003,7.232053,4.43899,8.667865,12.938864,12.792802
16,11.84923869470566,10.322888326423,7.506296157836914,0.8684607744216919,0.0,0.0003,9.407255,5.2614355,6.776146,13.345791,14.146027
17,11.7526432823589,9.547136254822403,5.980862140655518,0.8874878883361816,0.0,0.0003,7.090078,4.3669877,8.2433195,13.869276,13.247984
18,11.70253590510584,9.999686699979751,6.965705871582031,0.8765685558319092,0.0,0.0003,9.881002,5.6058364,7.0703273,11.920366,13.176932
19,11.609926607721418,9.239165534308208,5.341512203216553,0.8946296572685242,0.0,0.0003,7.581781,4.7525597,8.759946,12.878882,12.141765
20,11.607793265445135,9.756548311829086,6.460330963134766,0.8824979662895203,0.0,0.0003,9.401141,5.5394087,7.533036,11.904251,12.769792
21,11.447519575102088,9.496572878012266,6.108384132385254,0.8886765241622925,0.0,0.0003,7.393737,4.5905695,7.688857,12.799143,13.610703
22,11.44490456997118,9.164754914049272,5.582892417907715,0.896320104598999,0.0,0.0003,7.9220753,4.910358,7.36623,12.575614,12.081086
23,11.369092928440791,9.10819763177334,5.668928146362305,0.8975957632064819,0.0,0.0003,8.538909,5.097787,7.493914,12.031758,11.481514
24,11.27213244929896,8.939820961796086,5.220455169677734,0.9013469219207764,0.0,0.0003,6.9917316,4.654047,7.975561,12.676059,12.030893
25,11.301483229968586,9.093667864493444,5.417400360107422,0.8979222774505615,0.0,0.0003,8.081274,5.5443587,7.646647,12.054286,11.635983
26,11.192421251596803,9.227013352350552,5.708428859710693,0.8949066400527954,0.0,0.0003,7.579177,4.4430633,7.7135143,12.834952,12.558354
27,11.197269784451542,9.287419986779852,5.915677070617676,0.8935260772705078,0.0,0.0003,8.864451,6.3014317,7.254087,11.698551,11.413745
28,11.122910879365495,11.800204542739213,6.930126190185547,0.8281173706054688,0.0,0.0003,7.7343698,5.6961994,8.142946,15.151604,18.710804
29,11.126058014525135,9.09298364126668,5.5474114418029785,0.8979375958442688,0.010936132983377,0.0003,8.356261,4.887661,7.282915,12.293365,11.599106
30,11.044232525685285,9.201840545012931,5.818575859069824,0.8954792618751526,0.0437445319335083,0.00015,9.345807,5.3569736,7.066993,11.607105,11.157061
31,10.892404975206563,9.466302668633729,6.009737968444824,0.8893851041793823,0.0,0.00015,10.309502,6.6027327,6.8967056,10.969671,10.637823
32,10.811253767852063,9.159019348457788,5.500475883483887,0.8964498043060303,0.0,0.00015,9.302794,5.7974687,7.585718,11.493949,10.721882
33,10.765044063446243,9.063263089803463,5.784790515899658,0.8986036777496338,0.0,0.00015,8.37826,5.4300103,6.971764,11.708584,11.685837
34,10.694726325920357,9.023903821482325,5.728554248809815,0.8994824290275574,0.0,0.00015,8.03609,5.3985944,7.024786,11.742421,11.884357
35,10.701025533345534,8.856159264522852,5.462445259094238,0.9031847715377808,0.0,0.00015,8.550515,5.4926224,7.2484827,11.489198,10.746801
36,10.693750204520686,9.084280405437042,5.798015117645264,0.898132860660553,0.0,0.00015,8.584832,5.563941,7.0783353,11.541677,11.549942
37,10.683702860934892,9.082323590251749,5.919912338256836,0.8981767892837524,0.0,0.00015,8.610758,5.507451,6.9559274,11.633498,11.512282
38,10.658277634176091,8.752076039515847,5.240912437438965,0.9054470658302308,0.0,0.00015,7.39988,5.2410755,7.896318,11.977697,11.21301
39,10.641564003765405,8.702164652542178,5.105216026306152,0.9065223932266236,0.0,0.00015,7.3462095,5.0671554,7.6956663,11.9008465,11.287149
40,10.529038093349136,9.148853843981382,6.002232551574707,0.8966795206069946,0.0,0.00015,7.957344,5.1974435,7.5602107,11.815402,12.324724
