epoch,train_rmse,val_rmse,val_mae,val_r2,val_out_of_bounds,learning_rate,rmse_limpio,rmse_leve,rmse_moderado,rmse_alto,rmse_crítico
1,16.61844780536956,9.97090340648844,5.6993327140808105,0.8764100670814514,0.010936132983377,0.0001,4.9669805,4.7840815,10.951271,15.888794,13.699184
2,10.817660938166256,9.273700163284184,5.098817825317383,0.8930895328521729,0.0,0.0001,5.189947,4.8342776,9.831456,14.498378,12.5828085
3,10.38039583848642,8.7053312494293,4.890712261199951,0.9057926535606384,0.284339457567804,0.0001,7.0585456,6.0437813,9.036361,11.943738,10.588999
4,9.988367952312132,8.546363616302349,5.148965358734131,0.9092018604278564,0.284339457567804,0.0001,7.0904436,5.887948,8.525383,11.605638,10.472883
5,9.878373316302689,8.377541246802602,4.382315158843994,0.9127536416053772,0.0,0.0001,5.598423,4.858415,9.313209,12.439713,10.857513
6,9.745412806434851,8.266587018304405,4.311910629272461,0.915049374103546,0.0,0.0001,5.979516,4.8530436,9.328903,12.324497,10.216565
7,9.582696296642592,8.435700946439384,4.882937908172607,0.911538064479828,0.0218722659667541,0.0001,7.2462254,5.7253513,9.062904,11.565149,9.810013
8,9.397262893103196,8.255508185827285,4.069644451141357,0.9152768850326538,0.0328083989501312,0.0001,5.6172113,4.8526006,9.541906,12.659969,10.127716
9,9.297507081065245,8.254398837404306,4.571096897125244,0.9152997136116028,0.1640419947506561,0.0001,7.0201516,5.7575297,9.288213,11.357561,9.371246
10,9.06149908524659,7.965874353475662,4.295579433441162,0.9211174249649048,0.0,0.0001,6.259364,5.500696,8.695785,11.810936,9.038479
11,8.933981414555527,8.285352585818833,4.114581108093262,0.9146632552146912,0.010936132983377,0.0001,5.475507,5.320654,9.885052,12.671223,9.944738
12,8.730720391531694,8.038467011390702,4.382589340209961,0.9196732044219972,0.0328083989501312,0.0001,5.9940486,4.9490266,8.598845,11.97646,9.830864
13,8.430957138180053,8.056807357049497,4.33571195602417,0.919306218624115,0.142169728783902,0.0001,5.5901117,5.772783,9.870161,12.277101,8.965736
14,8.252383407853296,8.00099869822559,4.357154369354248,0.9204202890396118,0.0,0.0001,6.0423036,5.083395,9.030172,12.004343,9.368814
15,8.085342411494093,8.50132081979191,4.881386280059815,0.9101564288139344,0.0,0.0001,4.523975,4.99017,9.169369,12.788378,11.74272
16,7.798299169489205,8.189857097810895,4.223523616790772,0.916619062423706,0.0,0.0001,6.0291324,5.6217237,9.593658,11.74156,9.781027
17,7.57494739697382,8.092225882537448,4.135529518127441,0.9185951948165894,0.0,0.0001,5.0823784,4.9739413,10.13812,12.354846,9.867852
18,7.427243432495244,8.406515677499186,4.696403503417969,0.9121491312980652,0.0,5e-05,4.5631065,5.1653094,10.530631,13.485287,10.214444
19,6.836180356149823,7.896937359866682,3.922696828842163,0.9224768280982972,0.0,5e-05,5.278429,5.5702662,9.80843,12.160036,8.857214
20,6.552857614828961,7.79657460016487,3.860367774963379,0.924434781074524,0.0,5e-05,4.53612,4.968105,9.91156,12.498108,9.095492
21,6.2868452526166205,8.058842750831797,4.044646739959717,0.9192654490470886,0.0,5e-05,4.887915,5.181972,10.195514,12.667353,9.469656
22,6.277445609087862,8.147378840461098,3.978944540023804,0.9174817800521852,0.0,5e-05,5.8756304,5.643675,9.883283,12.26446,9.173038
23,6.11974689117447,8.184934324928843,4.1490254402160645,0.9167192578315736,0.0,5e-05,5.0372276,5.511714,9.907223,12.001711,10.319201
24,6.064297474448784,7.950713258400856,3.861192226409912,0.9214174151420592,0.0,5e-05,4.898082,5.0307727,9.653592,12.53164,9.481682
25,5.950308833770274,7.967713522910273,4.0819902420043945,0.921081006526947,0.0,5e-05,6.103128,6.0661297,9.344491,11.576019,8.722892
26,5.935864811188978,8.051288046154932,4.045297145843506,0.9194167256355286,0.0,5e-05,4.69548,5.3612113,10.094863,12.582575,9.59291
27,5.882200520833956,7.909763305340586,3.8571603298187256,0.9222248196601868,0.0,5e-05,4.974926,5.2445254,9.749181,12.359354,9.235442
28,5.782032682909114,7.951246319720652,3.88737416267395,0.921406865119934,0.0218722659667541,2.5e-05,5.3789296,5.805455,9.903046,11.791748,9.108374
29,5.604884406294925,7.966787955370732,4.011499881744385,0.9210993647575378,0.0,2.5e-05,5.430267,5.5413046,9.475029,11.953645,9.359974
30,5.4436316265616,7.982462794457266,4.14765214920044,0.9207885265350342,0.0,2.5e-05,5.132261,5.5831532,9.4242735,12.025152,9.605079
31,5.3810849944834365,7.867481288548132,3.962810754776001,0.9230540990829468,0.0,2.5e-05,5.149008,5.5767393,9.862837,11.8576765,9.087595
32,5.425188334572137,8.033147965021003,4.077881336212158,0.9197794198989868,0.0,2.5e-05,5.445207,5.635878,9.625057,11.937463,9.499018
33,5.378025880497667,7.924440345768866,3.8837599754333496,0.9219359159469604,0.0,2.5e-05,5.224754,5.533481,9.637905,11.879273,9.364418
34,5.3077835711680175,7.954730306711588,3.8263368606567374,0.9213379621505736,0.0,2.5e-05,5.173895,5.4788074,9.813465,12.31983,9.105481
35,5.297253397551426,7.84225323992223,3.816431999206543,0.9235467910766602,0.0218722659667541,2.5e-05,5.4910836,5.6995196,9.824129,11.852078,8.6077585
36,5.292538966809398,8.019130338986564,3.899982213973999,0.9200591444969176,0.010936132983377,1.25e-05,5.126958,5.365583,9.589328,12.200194,9.677404
37,5.291742243261973,7.98408692909266,4.177302837371826,0.9207563400268555,0.0,1.25e-05,5.277660846710205,5.516538619995117,9.49038028717041,11.974923133850098,9.550597190856934
